Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify filter functionality when selected type of comment is not present,RE-28,10041,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 15:49,09-09-21 11:12,09-09-21 11:12,08-09-21 22:28,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0009j:,,RE Sprint 1,,,,,,,,Done
"Verify filter functionality when comment type is ""all comment types""",RE-27,10040,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 15:46,09-09-21 11:12,09-09-21 11:12,08-09-21 22:30,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0009b:,,RE Sprint 1,,,,,,,,Done
"Verify filter functionality when comment type is ""ping""",RE-26,10039,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 15:45,09-09-21 11:12,09-09-21 11:12,08-09-21 22:33,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i00093:,,RE Sprint 1,,,,,,,,Done
"Verify filter comment functionality when the comment type is ""comment""",RE-25,10038,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 15:45,09-09-21 11:13,09-09-21 11:13,08-09-21 22:33,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0008v:,,RE Sprint 1,,,,,,,,Done
Verify view property type attachment functionality,RE-24,10037,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 15:26,09-09-21 11:13,09-09-21 11:13,08-09-21 22:33,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-22,,,,,,,,{},,,,,,,0|i0008n:,,RE Sprint 1,,,,,,,,Done
Verify view post type attachment functionality,RE-23,10036,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 13:03,09-09-21 11:13,09-09-21 11:13,08-09-21 22:34,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-22,,,,,,,,{},,,,,,,0|i0008f:,,RE Sprint 1,,,,,,,,Done
As I user I should be able to view the attachment type for the respective comment,RE-22,10035,Story,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 12:00,09-09-21 10:38,09-09-21 10:38,08-09-21 21:55,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-58,,,,,,,,{},,RE-1,,,,,0|i00087:,,RE Sprint 1,,,,,,,,Done
Verify user can perform select all functionality,RE-21,10034,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 8:49,09-09-21 11:14,09-09-21 11:14,08-09-21 22:34,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-3,,,,,,,,{},,,,,,,0|i0007z:,,RE Sprint 1,,,,,,,,Done
Verify unapprove functionality,RE-20,10033,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03-09-21 16:47,09-09-21 11:14,09-09-21 11:14,08-09-21 22:34,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-10,,,,,,,,{},,,,,,,0|i0007r:,,RE Sprint 1,,,,,,,,Done
Verify approve functionality,RE-19,10032,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03-09-21 16:44,09-09-21 11:14,09-09-21 11:14,08-09-21 22:34,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-10,,,,,,,,{},,,,,,,0|i0007j:,,RE Sprint 1,,,,,,,,Done
